Category;Type;Position;Value;ChangeCount;LastModified
BOAT;AGIG;3;A-Gig;1;1616522361471
BOAT;BARQUE;9;Barke;1;1616522361473
BOAT;BGIG;4;B-Gig;1;1616522361471
BOAT;CGIG;5;C-Gig;1;1616522361471
BOAT;CHURCHBOAT;10;Kirchboot;1;1616522361473
BOAT;DGIG;6;D-Gig;1;1616522361471
BOAT;EGIG;7;E-Gig;1;1616522361472
BOAT;ERG;11;Ergo;1;1616522361473
BOAT;INRIGGER;8;Inrigger;1;1616522361472
BOAT;MOTORBOAT;12;Motorboot;2;1616522361480
BOAT;OTHER;13;andere;2;1616522361481
BOAT;RACING;0;Rennboot;1;1616522361470
BOAT;TRIMMY;2;Trimmy;1;1616522361470
BOAT;WHERRY;1;Wherry;1;1616522361470
COXING;COXED;0;mit Stm.;2;1616522361481
COXING;COXLESS;1;ohne Stm.;2;1616522361481
COXING;OTHER;2;andere;2;1616522361482
GENDER;FEMALE;1;weiblich;1;1616522361459
GENDER;MALE;0;männlich;1;1616522361458
NUMSEATS;1;0;Einer;2;1616522361479
NUMSEATS;2;1;Zweier;2;1616522361480
NUMSEATS;2X;2;Doppelzweier;1;1616522361474
NUMSEATS;3;3;Dreier;2;1616522361480
NUMSEATS;4;4;Vierer;2;1616522361480
NUMSEATS;4X;5;Doppelvierer;1;1616522361475
NUMSEATS;5;6;Fünfer;1;1616522361475
NUMSEATS;6;7;Sechser;1;1616522361475
NUMSEATS;6X;8;Doppelsechser;1;1616522361476
NUMSEATS;8;9;Achter;1;1616522361476
NUMSEATS;8X;10;Doppelachter;1;1616522361476
NUMSEATS;OTHER;11;andere;2;1616522361481
RIGGING;OTHER;2;andere;2;1616522361481
RIGGING;SCULL;0;Skull;1;1616522361477
RIGGING;SWEEP;1;Riemen;1;1616522361477
SESSION;ERG;5;Ergo;1;1616522361470
SESSION;LATEENTRY;3;Kilometernachtrag;1;1616522361470
SESSION;MOTORBOAT;4;Motorboot;1;1616522361470
SESSION;NORMAL;0;normale Fahrt;1;1616522361469
SESSION;REGATTA;2;Regatta;1;1616522361469
SESSION;TRAININGCAMP;1;Trainingslager;1;1616522361469
STATUS;GUEST;0;Gast;1;1616522361469
STATUS;OTHER;1;andere;1;1616522361469
